mon
#I(TEC),I(LD),P(BFM),P(ASE),THERM,LAMBDA
0.000,0.114,-10000.000,2.372,17.2,29.2
0.000,0.114,-10000.000,2.372,17.2,0.0
0.000,0.114,-10000.000,2.372,17.2,29.2
0.000,0.114,-10000.000,2.373,17.2,-14.6
0.000,0.114,-10000.000,2.373,17.2,-43.6
0.000,0.114,-10000.000,2.372,17.2,0.0
0.000,0.114,-10000.000,2.376,17.2,-14.6
0.000,0.114,-10000.000,2.384,17.2,0.0
0.000,0.114,-10000.000,2.376,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,-14.6
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.372,17.2,-29.6
0.000,0.114,-10000.000,2.372,17.2,0.0
0.000,0.114,-10000.000,2.372,17.2,-14.6
0.000,0.114,-10000.000,2.372,17.2,0.0
0.000,0.114,-10000.000,2.371,17.2,14.6
0.000,0.114,-10000.000,2.372,17.2,-29.6
0.000,0.114,-10000.000,2.372,17.2,-14.3
0.000,0.114,-10000.000,2.372,17.2,0.0
0.000,0.114,-10000.000,2.372,17.2,28.9
0.000,0.114,-10000.000,2.373,17.2,14.6
0.000,0.114,-10000.000,2.385,17.2,-14.6
0.000,0.114,-10000.000,2.385,17.2,58.5
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,-14.6
0.000,0.114,-10000.000,2.386,17.2,58.5
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,-14.6
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,14.6
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,14.6
0.000,0.114,-10000.000,2.375,17.2,14.6
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,14.3
0.000,0.114,-10000.000,2.385,17.2,-14.6
0.000,0.114,-10000.000,2.386,17.2,-14.6
0.000,0.114,-10000.000,2.384,17.2,-14.3
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,14.6
0.000,0.114,-10000.000,2.385,17.2,28.9
0.000,0.114,-10000.000,2.372,17.2,-14.6
0.000,0.114,-10000.000,2.372,17.2,28.9
0.000,0.114,-10000.000,2.372,17.2,-44.2
0.000,0.114,-10000.000,2.372,17.2,-14.6
0.000,0.114,-10000.000,2.372,17.2,-14.3
0.000,0.114,-10000.000,2.371,17.2,29.6
0.000,0.114,-10000.000,2.371,17.2,-28.9
0.000,0.114,-10000.000,2.372,17.1,-14.9
0.000,0.114,-10000.000,2.372,17.2,-44.2
0.000,0.114,-10000.000,2.372,17.2,-29.6
0.000,0.114,-10000.000,2.372,17.1,-102.2
0.000,0.114,-10000.000,2.373,17.2,29.2
0.000,0.114,-10000.000,2.371,17.1,14.6
0.000,0.114,-10000.000,2.372,17.1,14.3
0.000,0.114,-10000.000,2.372,17.2,43.9
0.000,0.114,-10000.000,2.371,17.1,-43.9
0.000,0.114,-10000.000,2.372,17.2,58.5
0.000,0.114,-10000.000,2.372,17.1,14.6
0.000,0.114,-10000.000,2.372,17.1,-14.6
0.000,0.114,-10000.000,2.372,17.1,0.0
0.000,0.114,-10000.000,2.372,17.1,29.2
0.000,0.114,-10000.000,2.372,17.1,0.0
0.000,0.114,-10000.000,2.372,17.1,0.0
0.000,0.114,-10000.000,2.382,17.1,-29.2
0.000,0.114,-10000.000,2.373,17.1,-14.6
0.000,0.114,-10000.000,2.373,17.1,-14.6
0.000,0.114,-10000.000,2.373,17.2,58.5
0.000,0.114,-10000.000,2.372,17.1,0.0
0.000,0.114,-10000.000,2.372,17.1,14.3
0.000,0.114,-10000.000,2.372,17.1,14.6
0.000,0.114,-10000.000,2.372,17.1,29.2
0.000,0.114,-10000.000,2.372,17.1,14.6
0.000,0.114,-10000.000,2.372,17.1,14.6
0.000,0.114,-10000.000,2.371,17.1,0.0
0.000,0.114,-10000.000,2.372,17.1,0.0
0.000,0.114,-10000.000,2.374,17.1,0.0
0.000,0.114,-10000.000,2.380,17.1,0.0
0.000,0.114,-10000.000,2.385,17.1,0.0
0.000,0.114,-10000.000,2.384,17.1,-14.6
0.000,0.114,-10000.000,2.386,17.1,-14.6
0.000,0.114,-10000.000,2.384,17.1,-14.6
0.000,0.114,-10000.000,2.383,17.1,14.6
0.000,0.114,-10000.000,2.373,17.1,14.6
0.000,0.114,-10000.000,2.385,17.1,0.0
0.000,0.114,-10000.000,2.372,17.1,14.6
0.000,0.114,-10000.000,2.371,17.1,0.0
0.000,0.114,-10000.000,2.371,17.1,43.6
0.000,0.114,-10000.000,2.372,17.1,0.0
0.000,0.114,-10000.000,2.372,17.1,0.0
0.000,0.114,-10000.000,2.373,17.1,43.9
0.000,0.114,-10000.000,2.384,17.1,0.0
0.000,0.114,-10000.000,2.384,17.1,58.5
0.000,0.114,-10000.000,2.381,17.1,-14.6
0.000,0.114,-10000.000,2.372,17.1,14.6
